G007,THANKS,danke,شکرا,شکرا,,Shukran,,thank you / thanks,merci,Hvala,Dank u; dank je; bedankt,ምስጋና ፨ የቀንየለይ,Mi´si´gana / yekenyelei,,,mahadsanid,,"شکریہ
",Shukriya,ধন্যবাদ,dhonnobad,مرسی,Merci,تشكر,Tashakor,مننه ,Manana,Faleminderit!,Hvala,Dziękuję,Фала (Fala),,Спасибо          spɐsʲˈibə,,S: Ďakujem / C: Děkuji / Díky,,سوپاس,Blagodaria / Благодаря,Spas,"S: Tusen tack
N: Tusen takk
D: Mange tak",,,Kiitos,Takk,Grazie,Teşekkürler,Gracias ,Köszönöm,Obrigado / Obrigada,Efharistó,Ευχαριστώ,Mulțumesc,Շնորհակալություն,shnurhagalutiun,Ačiū,(Maraming) Salamat,Cảm ơn,நன்றி / நன்றி,nanri / nanri
G008,REPLY_THANKS,gern geschehen,أهلا,بكل سرور,,Ahlan wa sahlan,,you're welcome [response to thank you / thanks],de rien,Ni za kaj,Graag gedaan,ገንዘብኪ/ካ,genzebki/a,,,,,آپ کو خوش آمديد      /    آپ کا شکریہ,Ap ko khush amdeed  /  Ap ka Shukriya,,,,,,,,,S'ka përse!,,Nie ma za co/Proszę bardzo,,,Пожалуйста,,,,,Molia / Моля,ser çavan,S: Varsågod N: Bare hyggelig / Værsågod,,,Olkaa hyvä,,Prego,bir şey değil,De nada,szívesen,De nada / Não tem de quê,Típota,"Τίποτα, παρακαλώ",,Խնդրեմ,Khndrem,Nėra už ką / Prašom,,,நன்றி / நன்றி,nanri / nanri
G009,GIVE_OWN_NAME,ich heiße...,اسمي ,اسمي,,ismi,,my name is...,je m'appelle...,Moje ime je...,Ik heet ... / Mijn naam is ...,ስመይ ___ እዩ።,semey ___ ey-yu.,,,,,میرا نام...ہے,Mera naam ... hai,আমার নাম ...,amar nam ...,اسمم ... است,Esmam ... ast,نام ام _____ است,Naamam ...ast,زما نوم ... دی ,Zma num … dai,Emri im është…,Zovem se,Mam na imię,Се викам (Se vikam),,Меня зовут...            mʲɪnʲˈæ zɐvˈut...,,S: Volám sa / C: Jmenuji se...,,ناوم,Az se kazvam / Аз се казвам,Navê min …(y)e.,"S: Jag heter..
N: Jeg heter..
D: Jeg hedder ..",,,Minun nimeni on...,Ég heiti...,Mi chiamo...,Adım ....,Me llamo… / Mi nombre es... ,...vagyok,O meu nome é...,Onomázome...,Ονομάζομαι...,Numele meu este...,Անունս ...,im anouns,Mano vardas yra...,Ako si...,Tôi tên là...,என் பெயர்.,en peyer
G010,ASK_OTHERS_NAME,Wie heißen Sie?, شو اسمك,ما اسمك؟,,ma ismak    / schou ismak,,What is your name?,Comment vous appelez-vous?,Kako vam je ime?,Hoe heet u?,መን'ዩ ስምካ፧,men-yu semka?,,,,,"آپ کا نام کیا ہے؟
",Aap ka naam kya hai?,আপনার নাম কী?,apnar nam ki?,اِسمتون چیه؟,esmetoon chieh?,نام تان چیست؟,Naametaan chist?,ستاسو څه نوم دی؟  ,staso tsa num dai?,Si quheni? Si e keni emrin?,Kako se zovete? ,Jak masz na imię?,Како се викате? (Kako se vikate?),,Как Вас зовут?,,S: Ako sa voláte ? / C: Jak se jmenujete?,,ناوت چیه ؟,kak se kazvate? / как се казвате,Navê te çi ye?,"S: Vad heter du?
N: Hva heter du?
D: Hvad hedder du?",,,Mikä teidän nimenne on?,Hvað heitir þú?,Come si chiama? / Come ti chiami?,Adın ne?,¿Cómo se llama? / ¿Cuál es su nombre?,Mi az ön neve?,Como se chama?,Pós onomázeste?,Πώς ονομάζεστε;,Cum vă cheamă?,Որն է քո անունը?,Vorn e k’vo anuny?,Koks Jūsų vardas?,Ano ang pangalan mo?,,உன் பெயர் என்ன?,Un peyer enna?
G011,GIVE_OWN_PROVENANCE,Ich komme aus...,انا من,انا من,,Ana min,,I’m from...,Je viens de...,Prihajam iz / sem iz,Ik kom uit ...,... ኢየ።,... iye.,,,,,"میں ۔۔۔۔۔۔۔۔ سے آئی ہوں  / 
میں ۔۔۔۔۔۔۔۔ سے آیا ہوں
","Mein ____ se aayee hoon.(female saying it)  /  Mein ___ se aaya hoon. (male saying it)
",আমি ..... থেকে আসছি,ami .... theke ashchhi,(مں از ۔۔۔۔۔۔۔۔ می آیم,Man az .... miyam,(مں از ۔۔۔۔۔۔۔۔ می آیم,Man az .... mi aayum,زه د ... یم ,Za de ...yam,Unë jam nga…,Ja sam iz...,Jestem z...,Јас сум од (Jas sum od),,Я из...                             jˈæ ˈis...,,S: Ja som z / C: Jsem z,,من خه‌ڵکی,Az sum ot / Аз съм от,Ez ji ...me.,"S: Jag kommer från..
N: Jeg kommer fra..
D: Jeg kommer fra ..",,,Olen kotoisin ....sta.,Ég kem frá...,Vengo da.../Sono di...,....den geliyorum,Soy de…. / Vengo de...,…-ból jövök,Venho de... / Sou de...,Katágome apó...,Κατάγομαι από...,Vin din...,,yes ... goukam,Aš esu iš...,Galing ako sa...,Tôi là người...,நான் இருந்து இருக்கிறேன் ...,Nāṉ iruntu irukkiṟēṉ...
G012,FAMILY,(die) Familie,اسرة; عائلة,اسرة; عائلة,,Oussra / Aa'ila,,family,La famille,družina,(de) familie,ስድራ,sedra,,,qoys,,خاندان,Khaandaan,পরিবার,poribar,خانواده,Khaanevaadeh,فامل,Faamil,,,Familja,porodica / obitelj / familija,rodzina,Семејство (Semejstvo),,семья,,"S: rodina
C: rodina",,خیزان,semeystvo / семейство,malbat,S: familjen N: familien D: Familien,,,perhe,,la famiglia,aile,Familia,család,Família,Ikogènia,Οικογένεια,Familie,,,Šeima,Pamilya,,குடும்ப,kudumbam
G013,PRESENT_HUSBAND,das ist mein Mann,هذا زوجی,هذا زوجي,,hada zawji / da zawji,,this is my husband,C'est mon mari,To je moj mož,Dit is mijn man,እዚ በዓል በተይ,izi beal betey,,,,,یہ میرا شوہر ہے,Yeh mera shohar hai,উনি ... আমার স্বামী,uni ... amar shami,این شوهرمه,Een shoharame,این شوهرم است,Een shoharam ast,دا زما میړه دی ,Da zma merra dai,Ky është burri im,Ovo je moj muž.,To jest mój mąż,Ова е маж ми (Ova e mazh mi),,Это мой муж          ˈɛtə mˈoj mˈuʂ,,"S: To je môj muž
C: To je můj muž",,مێرده‌که‌م,Tova e mazhat mi / Това е мажът ми,Ev mêrê min e.,"S: Detta är min man
N: Dette er min mann
D: Det er min mand",,,Tässä on mieheni.,Þetta er eiginmaðurinn minn...,Questo è... mio marito,Bu benim kocam ...,Este es mi... marido / esposo,Ez a férjem,Ele é meu marido,Aftós íne o ándras mu,"Αυτός είναι 
ο άντρας μου",Este soțul meu,,as ... amousins e ,Tai mano vyras,Siya ang asawa ko,Đây là chồng tôi.,இவர் என் கணவர்,Ivar eṉ kaṇavar
G014,WIFE,(meine) Frau,هيدي مرتي,هذە زوجتی,,hadihi zawjati /di mara'ti,,my wife,(ma) Femme,To je moja žena,(Mijn) vrouw,ሰበይተይ,sebeytey,,,,, میری بیوی ,meri biwi ,আমার স্ত্রী ,amar stri ,زنم,Zanam,"
همسرم",Hamsaram,زما ښځه ,Zma khaza / sha-za,Gruaja ime,Ovo je moja žena.,moja żona,Ова е жена ми (Ova e zhena mi),,...моя жена               mɐjˈæ ʐᵻnˈa,,"S: To je moja žena
C: To je moje žena",,هاوسه‌ره‌که‌م,Tova e zhena mi / Това е жена ми,Jina min,"S: min fru
N: min kone
D: Min kone",,,vaimoni,Þetta er eiginkonan mín...,Questa è… mia moglie,karım,Esta es mi... mujer / esposa ,a feleségem,Ela é minha mulher,(Aftí íne) i ginéka (mu),"(Αυτή είναι) 
η γυναίκα (μου)",Este soția mea,(...) կին,gines e ,Mano žmona,Asawa ko,Đây là vợ tôi.,என் மனைவி,Eṉ maṉaivi
G015,CHILDREN,(meine) Kinder,اطفالی,أطفالي,,Attfali,,my children,mes enfants [pl.] / (mon enfant [sing]),To so moji otroci,mijn kinderen,ደቀይ,deqey,,,,," میرے بچّے 
",mere bachchey,আমার বাচ্চারা  ,amar bachchara,بچه هام,Bachehaam,اولادهایم,Awladaayam,زما ماشومان ,zma mashuma-n,Fëmijët e mi,Ovo su moja djeca / deca.,moje dziecko,Ова се моите деца (Ova se moite deca),,...мои дети            mɐˈi dʲˈetʲɪ,,"S: Moje deti
C: Moje děti",,مناڵه‌کانم,... decata mi,Zarokên min,"S: Mina barn
N: mine barn
D: Mine børn",,,lapseni,Þetta eru börnin mín,Questi sono... i miei figli,"çocuklarım (>1)
çocuğum (1)",Estos son mis hijos,a gyerekeim,Eles são meus filhos,(Afta íne) ta pediá (mu),"(Αυτά είναι)
τα παιδιά (μου)",Sunt copiii mei,(...) մանկական,yerekhaners en ,Mano vaikai,Mga anak ko,,என் குழந்தைகள்,Eṉ kulandhaigal
G016,DAUGHTER,(meine) Tochter,بنتی,ابنتي,,binti,,my daughter,ma fille,(moja) hčerka,mijn dochter,ጋለይ,guAley,,,,, میری بیٹی,meri beti ,আমার মেয়ে,amar meye,دخترم,dokhtaram,دخترم,dokhtaram,"زما لور
",zma lur,Vajza ime,Ovo je moja kći. / Ovo je moja ćerka.,moja córka,Ова е ќерка ми (Ova e kjerka mi),,...моя дочь / дочка   mɐjˈæ dˈot͡ɕ / dˈot͡ɕkə,,"S: Moja dcéra
C: Moje dcera",,کچه‌که‌م,dashteria mi / дъщеря ми,Keça min,"S: Min dotter
N: min datter
D: Min datter",,,tyttäreni,Þetta er dóttir mín,Questa è… mia figlia,kızım,Esta es mi hija,a lányom,Ela é minha filha,(Aftí íne) i kóri (mu),"(Αυτή είναι) 
η κόρη (μου)",Este fata mea,(...) աղջիկ,aghchigs,Mano duktė,Anak kong babae,,என் மகள்,Eṉ maghaḷ
G017,SON,(mein) Sohn,إبني ,ابني,,ibni,,my son,mon fils,(moj) sin,mijn zoon,ወደይ,wedey,,,wiil / Inan ,, میرا بیٹا ,mera beta,আমার ছেলে,amar chhele,پسرم,pesaram, بچیم,bachim,زما ځوی ,Zma zui,Djali im,Ovo je moj sin.,mój syn,Ова е син ми (Ova e sin mi),,...мой сын                 mˈoj sˈɨn,,"S: Môj syn
C: Můj syn",,کوڕه‌که‌م,sina mi / сина ми,Lawê min,"S: Min son
N: min sønn
D: Min søn",,,poikani,Þetta er sonur minn,Questo è...mio figlio,oğlum,Este es mi hijo,a fiam,Ele é meu filho,(Aftós íne) o giós (mu),"(Αυτός είναι) 
ο γιος (μου)",Este băiatul meu,(...) որդի,dghas,Mano sūnus,Anak kong lalake,,என் மகன்,Eṉ maghaṉ
G018,BABY,(mein) Baby,طفلی,طفلي,,tifli,,my baby,mon bébé,(moj) otrok,mijn baby,ሕጻን,his´an,,,,, میرا  بچہ,mera baccha,আমার বাচ্চা,amar bachcha,نوزادم,nozaadam,نوزادم,nozaadam,زما وړوکی ,"zma urrokai
",Foshnja ime,Ovo je moja beba.,moje dziecko,Моето бебе (Moeto bebe),,...мой ребенок        mˈoj rʲɪbʲˈɵnək,,"S: Moje dieťa
C: Moje dítě",,مناڵه‌که‌م,moeto bebe / моето бебе,Pitika min,"S: Min bäbis
N: min baby
D: Min baby",,,vauvani,Þetta er barnið mitt,Questo è il mio bebè,bebeğim,Este es mi bebé ,a kisbabám,É o meu bebé,(Aftó íne) to moró (mu),"(Αυτό είναι) 
το μωρό (μου)",Este bebelușul meu,(...) բալիկ,zavags,Mano kūdikis,Anak kong sanggol,,என் குழந்தை,Eṉ kuḻandhai
G019,BROTHER,(das ist mein) Bruder,هذا أخي ,هذا أخي,,hadha akhi,,this is my brother,(c'est mon) frère,(to je moj) brat,Dit is mijn broer.,ሓወይ,hawey,,,walaal,,یہ میرا بھائی ہے,Yeh mera bhai hai,এটা ... আমার ভাই,eta ... amar bhai,این برادرمه,in baraadarameh,این برادرم است.,In baraadaram ast.,دا زما ورور دی    ,da zma wror dai,Ky është vëllai im.,Ovo je moj brat.,To mój brat.,Ова е брат ми (Ova e brat mi),,Это мой брат,,"S: Toto je môj brat
C: Tohle je můj bratr",,ئه وه برامه,Tova e brat mi / това е брат ми,Ev birayê min e.,"S: Detta är min bror N: Dette er broren min.
D: Det er min bror",,,(Tässä on) veljeni.,,Questo è mio fratello,Bu abim /Bu erkek kardeşim,Este es mi hermano,Ez a testvérem,Este é o meu irmão,Aftós íne o aderfós mu.,Αυτός είναι ο αδερφός μου.,Este fratele meu.,(...) եղբայր,yeghbayr,Tai yra mano brolis,Siya ang kapatid ko,,"இது எனது சகோதரர்,","Idhu eṉu cakōtarar,"
G020,SISTER,(das ist meine) Schwester,هذه أختي ,هذه أختي,,hadhihi ukhti,,this is my sister,(c'est ma) soeur,(to je moja) sestra,Dit is mijn zus.,ሓፍተይ,haftey,,,,,یہ میری بہن ہے,"Yeh meri behen hai
",এটা ... আমার বোন,eta ... amar bon,این خواهرمه,in khaaharameh,این خواهرم است.,In khwaaram ast.,دا زما خور ده  ,da zma khor da ,Kjo është motra ime.,Ovo je moja sestra.,To moja siostra.,Ова е сестра ми (Ova e sestra mi),,Это моя сестра,,"S: Toto je moja sestra
C: Tohle je moje sestra",,اوه خوشکمه,Tova e sestra mi / това е сестра ми,Ev xwişka min e.,"S: Detta är min syster N: Dette er min søster.
D: Det er min søster",,,(Tässä on) siskoni.,,Questa è mia sorella,Bu ablam / bu kız kardeşim,Esta es mi hermana,Ez a testvérem,Esta é a minha irmã,Aftí íne i aderfí mu,Αυτή είναι η αδερφή μου.,Este sora mea.,(...) քույր,k’uyr,Tai yra mano sesuo,Siya ang kapatid ko,,இந்த என் சகோதரி,Inta eṉ cakōtari
G021,FATHER,(das ist mein) Vater,هذا ابي                  / هدا بابا,هذا أبي,,hadha abi,,this is my father,c'est mon père,(to je moj) oče,Dit is mijn vader.,ኣቦይ,aboy,,,aabbe,,یہ میرے باپ/ والد/ ابو ہیں,"Yeh meray baap/waalid/abbo hein
",এটা ... আমার বাবা,eta ... amar baba,این پدرمه (بابامه),in pedarameh/babameh,این پدرم (بابام) است.,In padaram/babam ast.,دا زما پلار دی   , da zma plaar dai,Ky është babai/ baba im,Ovo je moj otac.,To mój ojciec / tata.,Ова е татко ми (Ova e tatko mi),,Это мой отец / папа,,"S: To je môj otec
C: To je můj otec / táta",,ئه وه باوكمه,tova e bashta mi / това е баща ми,Ev bavê min e.,"S: Detta är min pappa / far N: Dette er faren min
D: Det er min far",,,(Tässä on) isäni.,,Questo è mio padre/papà,Bu benim babam,Este es mi padre / papá ,Ô az apam,Este é o meu pai,Aftós íne o patéras mu/Aftós íne o babás mu,Αυτός είναι ο πατέρας μου / Αυτός είναι ο μπαμπάς μου,Este tata,(...) հայր,hayr,Tai yra mano tėvas / tėtis,Siya ang aking ama,,இந்த என் தந்தை,Inta eṉ tantai
G022,MOTHER,(das ist meine) Mutter,هذه أمي                      / هاي ماما    ,هذه أمي,,hathihi ummi   / Hai Mama,,this is my mother ,c'est ma mère,(to je moja) mama,Dit is mijn moeder.,ኣደ,ad-de,,,hooyo,,یہ میری والدہ/ امّی ہیں۔,"Yeh meri waalida/ammi hein
",এটা ... আমার মা,eta ... amar maa,این مادرمه(مامانمه),in madarameh/ mamanameh,این مادرم است.,In maadaram ast.,دا زما مور ده    ,da zma mor da,Kjo është nëna/mamaja ime,Ovo je moja majka.,To moja mama.,Ова е мајка ми (Ova e majka mi),,Это моя мама,,"S: To je moja matka
C: To je moje matka / máma",,ئه وه دايكمه,tova e maika mi / това е майка ми,Ev diya min e.,"S: Detta är min mamma / mor N: Dette er moren min
D: Det er min mor",,,(Tässä on) äitini.,,Questa è mia madre/mamma,Bu benim annem,Esta es mi madre / mamá ,Ô az anyám,Esta é a minha mãe,Aftí íne i mitéra mu/ Aftí íne i mama mu,Αυτή είναι η μητέρα μου / η μαμά μου,Este mama,(...) մայր,,Tai yra mano motina / mama,Siya ang aking ina,,இவர் என் அம்மா,Ivar eṉ am'mā
G023,SUFFER_HUNGER,Ich habe Hunger.,انا جوعان ,انا جائع,,ana jaw‘an,,I’m hungry.,J'ai faim.,Lačen sem (m)  Lačna sem (f),Ik heb honger.,ጥሜት ኣለኒ።,Temayat aleni.,,,,,"مجھے بھوک لگی ہے
",Mujhey bhook lagi hai,আমার খিদে লেগেছে / আমি ক্ষুধার্ত / আমি কিছু খেতে চাই,amar khide legechhe / ami khudharto / ami kichhu khete chai,گشنه ام,goshne am,گشنه هستم,goshna hastum,زه وږی يم ,za wagai yam,Kam uri,Gladan sam. (m) / Gladna sam. (f),Jestem głodny.(m) / Jestem głodna (f),Гладен сум (Gladen sum (m)) / Гладна сум (Gladna sum (f)),,Я голоден / голодна,,"S: Som hladný
C: Mám hlad / Jsem hladový",,برسیمه‌,gladen sam / гладен съм,Ez birçî me,"S: Jag är hungrig
N: Jeg sulten
D: Jeg er sulten",,,Minulla on nälkä.,Ég er svangur.(m)  Ég er svöng. (f),Ho fame,Açım,Tengo hambre,Éhes vagyok,Estou com fome,Pináo,Πεινάω,Îmi este foame,mayr,anoti em,Aš alkanas,Nagugutom ako,,எனக்கு பசிக்கிறது .,Eṉakku pacikkiṟatu.
G024,CHILD_HUNGRY,(mein Kind) hat Hunger,طفلی جوعان ,طفلي جائع,,tifli jaw‘an,,(My child) is hungry,Mon enfant a faim,(moj otrok) je lačen,(Mijn kind) heeft honger.,ጋለይ ጠምያ ኣላ።,geley tmeya ala,,,,,"میری بچّی بھوکی ہے۔

 
میرا بچّا بھوکا ہے۔","Meri bachchi bhooki hai


Mera bachcha bhooka hai",আমার বাচ্চাটার খিদে পেয়েছে,amar bachchatar khide legechhe,بچّه ام گرسنه است,bacham gorosneh ast,بچه ام گشنه شد.,bachem goshna shod.,"(زما بچه) وږی دی 
",zma bacha wagai dai,(Fëmija im) ka uri,Moje dijete / dete je gladno.,Moje dziecko jest głodne.,Моето дете е гладно (Moeto dete e gladno),,Мой ребенок голоден,,"S: Moje dieťa je hladné
C: Moje dítě má hlad. / Moje dítě je hladové.",,منداله که م برسیه تی,moeto dete e gladno / моето дете е гладно,(Zarokê min) birçî ye,"S: Mitt barn är hungrigt
N: Mitt barn er sulten
D: Mit barn er sulten",,,(Lapsellani) on nälkä.,,[mio figlio/mia figlia] ha fame,Çocuğum aç,Mi hijo/hija tiene hambre,A gyerekem éhes,O meu filho/ A minha filha tem fome,(To pedí mu) pinái,(Το παιδί μου) πεινάει,Copilul meu este flămând.,,zavags anoti e ,(Mano vaikas) alkanas,Gutom ang anak ko/Nagugutom na ang anak ko,,என் குழந்தை ) பசி,Eṉ kuḻantai) paci
G028,SUFFER_THIRST,Ich habe Durst.,عطشان,أريد أن أشرب,,ash'ur bi'l-'atsh  / Atschaan,,I’m thirsty,j'ai soif.,Žejen sem (m) Žejna sem (f),Ik heb dorst.,ማይ ጸሚኤ,may tsemie,,,,,"مجھے پیاس لگی ہے۔
","Mujhey pyaas lagi hai
",আমার পিপাসা লেগেছে / আমি পানি খাব,amar pipasha legechhe / ami pani khabo,تشنمه,teshnameh,تشنه استم.,Toshna astam.,زه تږی يم   ,za tegai yam,Jam i etur.,Žedan sam. (m) / Žedna sam. (f),Chce mi się pić,Жеден сум (Zheden sum (m))/ Жедна сум (Zhedna sum (f)),,Я хочу пить,,"S: Som smädný
C: Mám žízeň",,تینوومه,Zhaden sam / жаден съм,Ez tî me,"S: Jag är törstig N: Jeg er tørst
D: Jeg er tørstig                                 ",,,Minulla on jano.,Ég er þyrstur. (m)  ég er þyrst. (f),Ho sete,Susadım,Tengo sed,Szomjas vagyok,Tenho sede,Dipsáo,Διψάω.,Îmi este sete.,,dzarav em ,Aš ištroškęs,Nauuhaw ako,,எனக்கு தாகமாக உள்ளது,Eṉakku tākamāka uḷḷatu
